//b = MountBone / p = PoseID / x= OffsetX / y =OffsetY / H= Height / S =Mountscale
//ID	MountName	Iteminfo	Characterinfo	B/P/X/Y/H/S-Lance	B/P/X/Y/H/S-Carsise	B/P/X/Y/H/S-Phyllis	B/P/X/Y/H/S-Ami
1	Public mount (Cuddly Lamb)	19501	1701	2,30,0,0,0,1	2,30,0,0,0,1.3	2,16,10,0,-20,1	2,16,10,0,-20,0.8
2	Public mount (Whacky Lamb)	19502	1702	2,30,0,0,0,1	2,30,0,0,0,1.3	2,16,10,0,-30,1	2,16,10,0,-30,0.8
3	Public mount (Wolf Cub)	19503	1703	2,30,5,0,45,1	2,30,10,0,40,1.3	2,16,10,0,10,1	2,16,10,0,5,0.8
4	Public mount (Starving Wolf)	19504	1704	2,30,10,0,40,1	2,30,20,0,30,1.3	2,16,20,0,10,1	2,16,10,0,5,0.8
5	Public mount (Mini Bee)	19505	1705	2,30,-10,0,50,1.4	2,30,-35,0,30,1.6	2,16,-20,0,10,1.5	2,16,-20,0,10,1.4
6	Public mount (Little Deer)	19506	1706	2,30,10,0,35,1	2,30,10,0,20,1.3	2,16,0,0,5,1	2,16,10,0,-5,1
7	Public mount (Snail General)	19507	1707	2,30,-5,0,30,1	2,30,-10,0,40,1.3	2,16,-20,0,-10,1	2,16,-10,0,-20,1
8	Public mount (Grassland Elk)	19508	1708	2,30,-65,0,15,1	2,30,-80,0,0,1.3	2,16,-70,0,-15,1	2,16,-55,0,-20,1

9	Public mount (Fire lion)	19509	1650	2,30,20,0,75,1	2,30,45,0,75,1.1	2,16,40,0,45,1	2,16,35,0,30,1
10	Public mount (Chocobo)	19510	1651	2,30,0,0,75,1	2,30,0,0,50,1.1	2,16,10,0,35,1	2,16,10,0,35,1	
11	Public mount (White elephant)	19511	1652	2,30,75,0,65,1	2,30,75,0,65,1.1	2,16,70,0,25,1	2,16,60,0,25,0.8
12	Public mount (Big squirrel)	19512	1653	2,30,70,0,65,1	2,30,90,0,60,1.1	2,16,50,0,40,1	2,16,60,0,30,1
13	Public mount (Unicorn)	19513	1654	2,30,60,0,70,1	2,30,50,0,70,1.1	2,16,40,0,30,1	2,16,50,0,25,1
14	Public mount (Saber-toothed tiger)	19514	1655	2,30,60,0,65,1	2,30,65,0,65,1.1	2,16,50,0,30,1	2,16,50,0,20,0.8
15	Public mount (Fawn)	19515	1656	2,30,40,0,70,1	2,30,40,0,60,1.1	2,16,10,0,20,1	2,16,25,0,20,0.8
