//ID	Skill Name	Skill name Ru	Identify if it is a lifeskill	View to Interface	is level up	use in mount	Class	Left Handed Requirement	Right hand weapon restriction	Body Armor Requirement	Conch usage test	Skill Phase	Skill Type	Useful/Harmful	Learning Level	-1uisite	Skill Points Consumption	Discharged Status	Apply point	Cast Range	Process target	Attack mode	Angle	Radius	Skill region shape	Skill prophase management formula	Skill adds surface status formula	Skill SP Formula	Durability consumption formula	Top-up consumption formula	Skill Region Formula	Discharge phase formula	effect phase formula	Positive effect forumala	Opposing effect formula	Bind status ID can be removed manually	Self parameter	Self Effect	Consumable	Duration	Target parameter	Splash parameter	Duration on target	Splash Persists Effect	Morph ID	Summon ID	Discharge Duration	Repeated Discharge Duration	Damage Effect	Play Action	action	keyframe	Attack Sound Effect	character dummy	Character Effect	Base Standard Value	item dummy	Item Effect	Item Effect 2	Path of Flight keyfram	character dummy2	item dummy3	Path of Flight Effect	Path of Flight speed	Attacked Sound Effect	dummy	Character attacked effect	Effect duration point	Surface attacked effect	Water Surface Effect	ICON	Skill Play Count	Operation Execute Command	Description	Effect	Consumption	Remark
1	Windslash	Windslash	1	1	1	0	1,10	1,1	1,1	1,-1	-1	2	1	0	-1	-1	1	1	1	400	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-10	0	0	0	hp=hp(1)-sklv(0)*30	0	0	0	0	0	0	1000	1	1	7	0	105	2	100	0	-1	0,0	0,0	-1	-1	-1	0	0	129	2	101	0	0	0	0	0	0	Attacks target with up to 300% bonus damage	0	0	0
2	Searing Slash	Searing Slash	1	1	1	0	1,10	1,0	1,2	1,-1	-1	3	1	0	-1	-1	1	1	1	800	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-15	0	0	0	hp=hp(1)-sklv(0)*25	0	1,sklv(0)*500	0	0	0	0	1500	1	1	11	0	106	2	100	0	0	102,0	0,0	-1	-1	-1	0	0	130	2	103	0	0	0	0	0	0	Adds fire damage to attack	0	0	0
3	Illusion Slash	Illusion Slash	1	1	1	0	1,10	1,1	1,1	1,-1	-1	3	1	0	-1	-1	1	1	1	800	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-20	0	0	0	hp=hp(1)-sklv(0)*80	0	0	0	0	0	0	2000	2	1	11	-1	107	9	104	0	-1	0,0	0,0	0	9	-1	1010	1600	131	2	105	0	0	0	0	0	0	Attack target without them noticing	0	0	0
4	Phoenix Slash	Phoenix Slash	1	1	1	0	1,10	1,1	1,1	1,-1	-1	3	1	0	-1	-1	1	1	1	800	4	2	45	400	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-25	0	0	0	hp=hp(1)-sklv(0)*100	0	0	0	0	0	0	2000	2	1	11	-1	108	9	106	0	-1	0,0	0,0	0	9	-1	1011	800	132	2	107	0	0	0	0	0	0	Attack target with the powers of a Phoenix	0	0	0
5	Fiery Arrow	Fiery Arrow	1	1	1	0	2,10	1,3	1,-1	1,-1	-1	2	1	0	-1	-1	1	1	1	1000	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-10	0	0	0	hp=hp(1)-sklv(0)*30	0	2,sklv(0)*1000	0	0	0	0	2000	2	1	7	-1	109	6	108	0	-1	0,0	0,0	0	9	-1	1012	1600	133	2	109	0	0	0	0	0	0	Imbues arrows with additional damage Fire damage	0	0	0
6	Icy Arrow	Icy Arrow	1	1	1	0	2,10	1,3	1,-1	1,-1	-1	3	1	0	-1	-1	1	1	1	1000	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-20	0	0	0	hp=hp(1)-sklv(0)*25	0	3,sklv(0)*500	0	0	0	0	sklv(0)*600	2	1	7	-1	110	6	110	0	-1	0,0	0,0	0	9	-1	1013	1600	134	-1	111	0	0	0	0	0	0	Imbues arrows with ice. Able to freeze or slow target	0	0	0
7	Shot Array	Shot Array	1	1	1	0	2,10	1,-1	1,4	1,-1	-1	3	1	0	-1	-1	1	1	1	1000	4	2	45	200	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-15	0	0	0	hp=hp(1)-sklv(0)*10	0	0	0	0	0	0	1000	2	1	7	-1	111	9	112	0	-1	0,0	0,0	0	-1	0	1014	2000	135	2	113	0	0	0	0	0	0	Fire multiple arrows, attack radius increases with each level	0	0	0
8	Fissure Shot	Fissure Shot	1	1	1	0	2,10	1,-1	1,4	1,-1	-1	3	1	0	-1	-1	1	1	1	1000	4	3	360	150	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-30	0	0	0	hp=hp(1)-sklv(0)*40	hp=hp-sklv(0)*20	0	0	0	0	0	3000	2	1	7	-1	112	9	114	0	-1	0,0	0,0	0	-1	0	1015	1600	136	2	115	0	0	0	0	0	0	Damage all targets surrounding target within radius	0	0	0
9	Flare Shield	Flare Shield	1	1	1	0	3,10	1,-1	1,-1	1,-1	-1	2	1	0	-1	-1	1	1	2	50	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-20	0	0	0	0	0	0	0	0	0	0	5000	1	1	1	-1	113	1	135	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	116	0	0	0	0	0	0	Fire protective flares to reduce damage done to ship body	0	0	0
10	Great Cannonball	Great Cannonball	1	1	1	0	3,10	1,-1	1,-1	1,-1	-1	3	1	0	-1	-1	1	1	3	1500	4	2	360	500	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-30	0	0	0	hp=hp(1)-sklv(0)*500	0	0	0	0	0	0	1000	2	1	1	-1	114	2	117	0	-1	0,0	0,0	-1	2	-1	1016	1200	138	-1	0	0	136	0	0	0	0	Fragments will deal damage to targets within range	0	0	0
